"post_id","date","platform","post_type","recommended_time","post_text","image_needed","canva_needed","canva_prompt","image_filename","link_required","reply_text","note"
"x_20260627_3","2026-06-27","X","checklist_or_question","16:45","もし今、大きな地震が来たら。
・親と連絡を取る手段は決めてある?
・集まる場所は?
備えは、元気なうちにこそ話しておきたい。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260627_4","2026-06-27","X","emotional_painting","20:15","雨の音を聞くと、母を思い出す。
「傘は持った?」が口ぐせだった人。
今日はこちらから、「降ってきたね」と送ってみる。","true","true","雨の窓辺で子ども世代がスマホを手に母を思い出す。遠景に実家。雨に濡れた街と家を、暖色のやわらかな光がつなぐ。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day04_emotional_painting.png","false","","画像添付: day04_emotional_painting.png ／ 詳細: canva-prompts/individual/day04_emotional_painting_prompt.md ／ リプライなし"
"x_20260627_5","2026-06-27","X","soft_cta","22:30","離れていると、実家の様子はほとんど見えない。
元気なのか、無理していないのか。
だからこそ、小さな確認を習慣にしておきたい。","false","false","","","false","離れて暮らす母・父を、無理なく見守る方法を発信しています。
https://www.oyamimamori.jp/app/","ソフト誘導。本文にリンクは入れず、リプライにサイト/appを記載。"
"x_20260628_1","2026-06-28","X","morning_empathy","08:10","「あとで電話しよう」の“あとで”は、なかなか来ない。
気づけば一週間。
思い立った今、スタンプひとつだけでも送っておく。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260628_2","2026-06-28","X","practical_tip","12:15","親とのビデオ通話は、用件がなくても顔が見られるのがいい。
操作が難しければ、こちらからかけて、出てもらうだけにする。
それで十分つながれる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260628_3","2026-06-28","X","checklist_or_question","16:45","親の「いつもの一日」、どれくらい知っていますか。
・食事の時間
・寝る時間
・散歩の習慣
知っているほど、「いつもと違う」に早く気づける。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260628_4","2026-06-28","X","emotional_painting","20:15","ニュースで実家の地名が流れると、心臓がはねる。
すぐ電話。「大丈夫だよ」の声で、やっと息をつく。
離れているぶん、不安も大きくなる。","true","true","夜、テレビ/スマホの災害ニュースを見て実家を案じる子ども世代。すぐ電話しようとする。深刻すぎず、家族を想う静かな緊張。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day05_emotional_painting.png","false","","画像添付: day05_emotional_painting.png ／ 詳細: canva-prompts/individual/day05_emotional_painting_prompt.md ／ リプライなし"
"x_20260628_5","2026-06-28","X","app_cta","22:30","災害のたびに思う、連絡が取れることのありがたさ。
毎日のひとことが、もしものときの備えにもなる。
そんな見守りの始め方はこちら。
https://www.oyamimamori.jp/app/","false","false","","","true","","本日のapp導線（本文にリンク）。CTA文言は日替わり。アプリ名は出しすぎない。"
"x_20260629_1","2026-06-29","X","morning_empathy","08:10","返信は、スタンプひとつでいい。
言葉がなくても、「見たよ」が分かれば安心する。
親子の連絡に、長い文章はいらない。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260629_2","2026-06-29","X","practical_tip","12:15","親に連絡するなら、相手の手があく時間を狙う。
朝の支度中より、お茶を飲む午後のほうが、ゆっくり話せたりする。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260629_3","2026-06-29","X","checklist_or_question","16:45","「まだ元気だから大丈夫」——そう思っているうちが、実は始めどき。
元気な今だからこそ、無理なく習慣にできる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260629_4","2026-06-29","X","emotional_painting","20:15","仕事帰りの電車、窓に映る自分の顔が、少し親に似てきた。
そういえば、最近どうしているかな。
スマホを取り出して、短くひとこと。","true","true","夜の電車内、窓に映る子ども世代の顔。ふと親を思い出しスマホを取り出す。車窓の街明かりが暖色でにじむ。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day06_emotional_painting.png","false","","画像添付: day06_emotional_painting.png ／ 詳細: canva-prompts/individual/day06_emotional_painting_prompt.md ／ リプライなし"
"x_20260629_5","2026-06-29","X","soft_cta","22:30","「心配しすぎ」と言われたくなくて、つい連絡を控えてしまう。
でも、気にかけることは悪いことじゃない。
さりげなく、続けていけばいい。","false","false","","","false","離れて暮らす母・父を、無理なく見守る方法を発信しています。
https://www.oyamimamori.jp/app/","ソフト誘導。本文にリンクは入れず、リプライにサイト/appを記載。"
"x_20260630_1","2026-06-30","X","morning_empathy","08:10","祖母にメッセージアプリを教えたら、毎朝スタンプが届くようになった。
中身はいつも同じ花の絵。
でもその一枚で、今日も元気だと分かる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260630_2","2026-06-30","X","practical_tip","12:15","親のスマホ、文字を大きくしてあげるだけで連絡のハードルが下がる。
「見えにくいから後で」が、減る。
設定をひとつ変えるだけ。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260630_3","2026-06-30","X","checklist_or_question","16:45","見守りと監視は、何が違うんだろう。
監視は「管理するため」、見守りは「安心するため」。
親の自由を尊重するなら、答えは自然と決まる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260630_4","2026-06-30","X","emotional_painting","20:15","祖母からの返信は、いつも一行。
「げんきです」。
たったそれだけのメッセージを、なぜか何度も読み返してしまう。","true","true","孫世代がスマホで祖母からの短い返信を読み、ふっと微笑む。画面の文字は小さく自然に。温かい室内光。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day07_emotional_painting.png","false","","画像添付: day07_emotional_painting.png ／ 詳細: canva-prompts/individual/day07_emotional_painting_prompt.md ／ リプライなし"
"x_20260630_5","2026-06-30","X","soft_cta","22:30","気のきいた言葉も、立派な贈り物もいらない。
「どうしてる?」のひとことが、いちばん喜ばれたりする。
親孝行は、それくらいで十分。","false","false","","","false","離れて暮らす母・父を、無理なく見守る方法を発信しています。
https://www.oyamimamori.jp/app/","ソフト誘導。本文にリンクは入れず、リプライにサイト/appを記載。"
"x_20260701_1","2026-07-01","X","morning_empathy","08:10","毎日は無理でも、三日に一度なら続けられる。
完璧じゃなくていい。
「たまに気にかける」を、やめないことのほうが大事。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260701_2","2026-07-01","X","practical_tip","12:15","親と「無事の合図」を決めておくと楽になる。
朝にスタンプを一個送るだけ、とか。
言葉にしなくても、押すだけで伝わる仕組みにしておく。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260701_3","2026-07-01","X","checklist_or_question","16:45","実家の冷蔵庫の中、想像できますか。
ちゃんと食べているか、それだけでも気になる。
見えないからこそ、たまに聞いてみる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260701_4","2026-07-01","X","emotional_painting","20:15","送ったメッセージに、既読がつかないまま夜が更ける。
父はたぶん、もう寝ているだけ。
分かっていても、画面をつい確認してしまう。","true","true","夜更けの部屋で子ども世代がスマホを見つめ、既読がつかないメッセージ。父はたぶん就寝中。静かな夜の小さな心配。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day08_emotional_painting.png","false","","画像添付: day08_emotional_painting.png ／ 詳細: canva-prompts/individual/day08_emotional_painting_prompt.md ／ リプライなし"
"x_20260701_5","2026-07-01","X","app_cta","22:30","見守りは、相手を縛るものじゃない。
お互いに気楽でいられる方法なら、自然と続く。
肩の力を抜いた見守りの話を、まとめました。
https://www.oyamimamori.jp/app/","false","false","","","true","","本日のapp導線（本文にリンク）。CTA文言は日替わり。アプリ名は出しすぎない。"
"x_20260702_1","2026-07-02","X","morning_empathy","08:10","母は今ごろ、庭の花に水をやっているはず。
会えなくても、向こうの朝の景色は想像できる。
その想像が、少しだけ距離を縮めてくれる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260702_2","2026-07-02","X","practical_tip","12:15","言葉が苦手な親とは、写真でやり取りするのもいい。
夕飯の一枚を送れば、向こうも食卓の写真を返してくれる。
会話より続くことがある。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260702_3","2026-07-02","X","checklist_or_question","16:45","母から返事が来ないとき、どれくらい待ちますか。
半日?一日?
自分なりの線引きを決めておくと、むやみに不安にならずにすむ。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260702_4","2026-07-02","X","emotional_painting","20:15","朝の光の中で、母が庭に水をやっている。
いつもの、なんでもない景色。
その「いつも通り」が、いちばんの安心なんだと思う。","true","true","朝の光の中、実家の庭で母が花に水をやる『いつもの景色』。離れた子どもがその情景を思い浮かべる構図。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day09_emotional_painting.png","false","","画像添付: day09_emotional_painting.png ／ 詳細: canva-prompts/individual/day09_emotional_painting_prompt.md ／ リプライなし"
"x_20260702_5","2026-07-02","X","soft_cta","22:30","見守りを始めるのに、遅すぎることはない。
でも、早すぎることもない。
気になった今日が、いちばん早いタイミング。","false","false","","","false","離れて暮らす母・父を、無理なく見守る方法を発信しています。
https://www.oyamimamori.jp/app/","ソフト誘導。本文にリンクは入れず、リプライにサイト/appを記載。"
"x_20260703_1","2026-07-03","X","morning_empathy","08:10","「元気?」の二文字を送るのに、勇気はいらない。
でも、送ると決めることが、案外むずかしい。
今朝はその二文字を、ちゃんと送ってみる。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260703_2","2026-07-03","X","practical_tip","12:15","見守りは、頑張ると続かない。
歯みがきみたいに、生活のついでにする。
「寝る前にひとこと」くらいが、ちょうどいい。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260703_3","2026-07-03","X","checklist_or_question","16:45","夜、ふと実家を思い出すこと、ありませんか。
その瞬間が、連絡のサイン。
思い出したときに、短く送ればいい。","false","false","","","false","","テキストのみ／画像なし／リプライなし。"
"x_20260703_4","2026-07-03","X","emotional_painting","20:15","スマホに灯る、小さな通知ひとつ。
「今日も元気」。
離れて暮らす家族をつなぐのは、案外こんな小さな光なのかもしれない。","true","true","スマホに灯る小さな通知『今日も元気』。離れた家族をつなぐ小さな光として、やさしく描く。背景に都市と実家。 上品な日本向け絵画調、映画的で温かい光、漫画/アニメ調にしない。深緑・薄緑・クリーム・暖色の光。大きな文字/ロゴ/ブランド名は入れない。1080x1080。","day10_emotional_painting.png","false","","画像添付: day10_emotional_painting.png ／ 詳細: canva-prompts/individual/day10_emotional_painting_prompt.md ／ リプライなし"
"x_20260703_5","2026-07-03","X","app_cta","22:30","離れていても、家族を想う気持ちは変わらない。
その気持ちを、無理なく続くかたちにするだけ。
見守りの始め方を、そっと置いておきます。
https://www.oyamimamori.jp/app/","false","false","","","true","","本日のapp導線（本文にリンク）。CTA文言は日替わり。アプリ名は出しすぎない。"
