"post_id","date","time","post_type","post_text","image_needed","canva_prompt","link_needed","link_url","reply_text","note","first_line_hook","empathy_score","repost_potential","ad_smell_risk","approval_recommendation"
"x_bb_d03_3","2026-06-30","16:45","研究所メモ","親みまもり研究所メモ。
見守りと監視の違いは、目的にある。
監視は「管理するため」、見守りは「安心するため」。
親の自由を尊重するなら、答えは決まる。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d03_4","2026-06-30","20:15","本音共感","親のLINE、既読はつくのに返事はない。
読んでくれてはいる。
その「読んだよ」だけで、今日はもう十分だ。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d03_5","2026-06-30","22:30","台風・雨・夜・実家","台風が近づいてるニュース。
自分の地域より先に、実家の天気を調べている自分がいる。","false","","false","","","タイミング依存（その天候・災害時に出す）。リンクなし","4","4","3","2","revise"
"x_bb_d04_1","2026-07-01","08:10","本音共感","親に「心配してる」って、なかなか言えない。
照れくさくて、つい「元気?」にすり替える。
本当に伝えたいのは、いつもその一言なのに。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d04_2","2026-07-01","12:15","本音共感","「無理しないでね」が言いたいだけなのに、
口から出るのは「ちゃんと食べてる?」。
素直じゃないのは、たぶん親に似た。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d04_3","2026-07-01","16:45","研究所メモ","親みまもり研究所メモ。
連絡が続かないのは、愛情が足りないからじゃない。
「ちゃんとやろう」と気負いすぎるから。
ハードルは、下げたほうが続く。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d04_4","2026-07-01","20:15","本音共感","電話の最後、「じゃあね」の前に、
一瞬、言いたいことを飲み込む。
「長生きしてね」なんて、重いかな、と。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d04_5","2026-07-01","22:30","本音共感","親に優しくしたいのに、会うと素っ気なくなる。
照れと愛情は、なんでこんなに見分けがつかないんだろう。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d05_1","2026-07-02","08:10","本音共感","毎日電話したい。でも毎日はできない。
この「でも」に、みんな少しずつ罪悪感を抱えている気がする。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d05_2","2026-07-02","12:15","本音共感","「あとで電話しよう」の“あとで”は、なかなか来ない。
気づけば二週間。
親は「忙しいんだろう」とこっちを気づかう。それがまた効く。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d05_3","2026-07-02","16:45","研究所メモ","親みまもり研究所メモ。
親の「大丈夫」には二種類ある。
本当に大丈夫なときと、心配させたくないとき。
だから、言葉より声を聞く。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d05_4","2026-07-02","20:15","本音共感","今日こそ電話しようと思って、結局できなかった。
また明日、と思う。
その「また明日」を、何回繰り返してきただろう。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d05_5","2026-07-02","22:30","/app・記事誘導","毎日電話しなくても、家族の「元気」は確かめ合える。
そういう方法を、研究所のサイトにそっとまとめています。","false","","true","https://www.oyamimamori.jp/app/","くわしくはプロフィールのリンクから。","週1〜2本まで。本文にリンクを貼らずリプ/プロフィールへ。記事側にPR開示あり","4","4","2","3","revise"
"x_bb_d06_1","2026-07-03","08:10","本音共感","用がないと電話しちゃいけない、なんて誰も言ってない。
そう気づいたのは、わりと最近。
用がなくても、かけていいんだ。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d06_2","2026-07-03","12:15","本音共感","親を心配しすぎる自分が、たまに嫌になる。
「気にしすぎ」と言われると、何も言えなくなる。
でも、気にせずにはいられない。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d06_3","2026-07-03","16:45","研究所メモ","親みまもり研究所メモ。
心配は、コントロールしようとすると重くなる。
「確かめる」だけにすると、軽くなる。
見守りは、確かめる技術。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d06_4","2026-07-03","20:15","本音共感","ニュースで親の世代の事故を見ると、すぐ実家を思う。
考えすぎだと分かっている。
分かっていても、手が電話に伸びる。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d06_5","2026-07-03","22:30","台風・雨・夜・実家","雨の音を聞くと、母を思い出す。
「傘持った?」が口ぐせだった人。
今日はこっちから、「降ってきたね」と送ってみる。","false","","false","","","タイミング依存（その天候・災害時に出す）。リンクなし","4","4","3","2","revise"
"x_bb_d07_1","2026-07-04","08:10","本音共感","心配は、たぶん愛情の裏返し。
そう思わないと、自分の不安が重すぎて持てない日がある。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d07_2","2026-07-04","12:15","本音共感","親の「大丈夫」を、素直に信じられない自分がいる。
信じたいのに。
疑っているんじゃなくて、ただ確かめたいだけなんだ。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d07_3","2026-07-04","16:45","研究所メモ","親みまもり研究所メモ。
返信の速さは、愛情の量とは関係ない。
それが分かっているだけで、待つ時間が少しラクになる。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d07_4","2026-07-04","20:15","本音共感","家族だからこそ、距離感がいちばん難しい。
近すぎると重い、遠すぎると不安。
ちょうどいいって、どこなんだろう。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d07_5","2026-07-04","22:30","本音共感","他人には気軽に「元気?」と言えるのに、
親にだけは、なぜか身構えてしまう。
近いほど、言葉がうまく出ない。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d08_1","2026-07-05","08:10","本音共感","親の生活に踏み込みすぎたくない。
でも、知らなさすぎるのも怖い。
この綱渡りを、たぶんずっと続けていく。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d08_2","2026-07-05","12:15","本音共感","「あなたのためを思って」が、いちばん難しい言葉だ。
言うほうも、言われるほうも、少し傷つく。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d08_3","2026-07-05","16:45","研究所メモ","親みまもり研究所メモ。
親孝行のハードルを、人は上げすぎる。
週に一度の電話で十分。
続くことが、いちばんの孝行。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d08_4","2026-07-05","20:15","本音共感","久しぶりに聞いた母の声が、少し小さくなっていた。
それだけで、その夜は眠りが浅かった。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d08_5","2026-07-05","22:30","本音共感","親が年を取るスピードは、会わない間にだけ速くなる気がする。
半年ぶりに帰ると、いつも少しだけ、追いつけない。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d09_1","2026-07-06","08:10","本音共感","実家の階段が、前より急に見えた。
変わったのは階段じゃなくて、親の足腰なんだと、あとで気づいた。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d09_2","2026-07-06","12:15","本音共感","電話の向こうの「もしもし」で、その日の調子がなんとなく分かる。
言葉より、声のトーン。
離れているから、耳がよくなった。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d09_3","2026-07-06","16:45","研究所メモ","親みまもり研究所メモ。
「心配しすぎ」は、けなし言葉じゃない。
見えないものを想像できる、という力でもある。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d09_4","2026-07-06","20:15","本音共感","親の手が、思ったより皺だらけになっていた。
その手に、ずっと育てられたんだと、急に思い出した。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d09_5","2026-07-06","22:30","台風・雨・夜・実家","大きな地震速報。
まず見るのは、震源より先に、実家の地名。
指が勝手に電話を探している。","false","","false","","","タイミング依存（その天候・災害時に出す）。リンクなし","4","4","3","2","revise"
"x_bb_d10_1","2026-07-07","08:10","本音共感","「親はいつまでもいる」と、心のどこかで思っていた。
そんなわけ、ないのに。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d10_2","2026-07-07","12:15","本音共感","帰省の最終日、車を出すとき。
ミラーの中で、ずっと手を振る母が小さくなっていく。
あの景色だけは、何年経っても慣れない。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d10_3","2026-07-07","16:45","研究所メモ","親みまもり研究所メモ。
離れて暮らす不安の正体は、距離じゃなく“情報の少なさ”。
だから、量より頻度。短くても、こまめに。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d10_4","2026-07-07","20:15","本音共感","実家の冷蔵庫を開けたら、私の好物だけが妙に多かった。
「来るかもしれないから」と母。
何も言えなくなった。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d10_5","2026-07-07","22:30","/app・記事誘導","離れて暮らす親の防災、何から始めればいいか分からない人へ。
「最低限の3つ」から考えると、ぐっとラクになる。
チェックリストにして整理しました。","false","","true","https://www.oyamimamori.jp/articles/bousai-goods-oya-checklist","記事はプロフィールのリンク、または下のリプから。
※記事内に広告・PRを含みます。","週1〜2本まで。本文にリンクを貼らずリプ/プロフィールへ。記事側にPR開示あり","4","4","2","3","revise"
"x_bb_d11_1","2026-07-08","08:10","本音共感","玄関で母が「気をつけてね」を三回言った。
一回でいいのに。
その三回に、全部つまっている気がした。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d11_2","2026-07-08","12:15","本音共感","実家のにおいって、なんであんなに安心するんだろう。
帰るたび、子どもに戻る。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d11_3","2026-07-08","16:45","研究所メモ","親みまもり研究所メモ。
見守りを「してあげる」と思うと疲れる。
「お互いさま」にすると続く。
自分の無事も、たまには送る。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d11_4","2026-07-08","20:15","本音共感","父が見送りに、わざわざ外まで出てきた。
「早く戻れ、寒い」と言いながら、なかなか家に入らなかった。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d11_5","2026-07-08","22:30","本音共感","親孝行って、たぶん大げさなものじゃない。
旅行でも贈り物でもなく、
「どうしてる?」のひとことだったりする。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d12_1","2026-07-09","08:10","本音共感","親に何かしてあげたいのに、結局できるのは電話くらい。
でも、その電話を待っている人がいる。
それで、十分なのかもしれない。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d12_2","2026-07-09","12:15","本音共感","気のきいたことなんて、何もできない。
でも「声が聞きたかっただけ」と言える関係を、なくしたくない。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d12_3","2026-07-09","16:45","研究所メモ","親みまもり研究所メモ。
親に新しい道具を勧めるコツは、「心配だから」より「私が使いたいから一緒に」。
対等が、いちばん受け入れられる。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d12_4","2026-07-09","20:15","本音共感","「元気?」のひとことで安心できるなら、
それは、すごく安いお守りだと思う。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d12_5","2026-07-09","22:30","台風・雨・夜・実家","停電のニュースを見た夜は、なぜか実家の灯りを思い浮かべる。
あの窓に、ちゃんと明かりがついていますように。","false","","false","","","タイミング依存（その天候・災害時に出す）。リンクなし","4","4","3","2","revise"
"x_bb_d13_1","2026-07-10","08:10","本音共感","親からの「こっちは大丈夫」が、今日のいちばんのニュースだった。
他に何も起きなくていい。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d13_2","2026-07-10","12:15","本音共感","なんでもない日に届く、なんでもない連絡。
その「なんでもなさ」が、いちばんありがたい。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d13_3","2026-07-10","16:45","研究所メモ","親みまもり研究所メモ。
「便りがないのは元気な証拠」は、半分本当で半分しんどい。
だから、便りがあるほうがいい。たった一言でも。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d13_4","2026-07-10","20:15","本音共感","自分が親に連絡しないと、子どもも将来そうなる気がして、
今日はちゃんと電話した。
見られていると思うと、人は少し優しくなれる。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d13_5","2026-07-10","22:30","本音共感","親より先に、自分が疲れていてどうする。
そう思って、深呼吸して、実家の番号を押す。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d14_1","2026-07-11","08:10","本音共感","夜、ふと実家の灯りを思い出すことがある。
まだ起きてるかな、もう寝たかな。
その想像だけで、少し近くに感じる。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d14_2","2026-07-11","12:15","本音共感","眠れない夜、いちばん最後に考えるのは、たいてい親のこと。
心配というより、ただ、無事でいてほしい。","false","","false","","","リンクなし。良いが上位20に未選出（手動運用可）","4","4","3","1","revise"
"x_bb_d14_3","2026-07-11","16:45","研究所メモ","親みまもり研究所メモ。
見守りの最初の一歩は、道具でも契約でもない。
「今日どうだった?」と聞くこと。それだけ。","false","","false","","","メモ型は引きが弱く自動キュー非推奨。フィードの“軸”として手動で使う","3","4","3","2","reject"
"x_bb_d14_4","2026-07-11","20:15","本音共感","深夜にスマホが光った。実家からだ。
一瞬、心臓が止まりかけた。
「寝てた? ごめん、間違えた」。
…生きてるなら、それでいい。","false","","false","","","リンクなし・宣伝なし。最有力バズ候補","5","5","5","1","approve"
"x_bb_d14_5","2026-07-11","22:30","/app・記事誘導","見守りカメラ、つけるか迷っている人へ。
大事なのは機能より、親の気持ち。
選ぶ前に家族で決めたいことを、まとめました。","false","","true","https://www.oyamimamori.jp/articles/mimamori-camera-erabu-mae-ni","記事はプロフィールのリンクから。
※記事内に広告・PRを含みます。","週1〜2本まで。本文にリンクを貼らずリプ/プロフィールへ。記事側にPR開示あり","4","4","2","3","revise"
